Included features;Churn in 1 months;Churn in 2 months;Churn in 3 months
((3, 11),);{'parameter_settings': {'reg_alpha': 0, 'n_jobs': 1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 1, 'learning_rate': 0.05, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 4, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.6967213114754097, 0.660392156862745, 0.621437578814628, 0.5583101441942828, 0.6983006535947713, 0.6430555555555555, 0.623989898989899, 0.6475182665658856, 0.6015369110607206, 0.6299442190669371]};{'parameter_settings': {'reg_alpha': 0, 'n_jobs': 1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 1, 'learning_rate': 0.05, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 4, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.5942231539715817, 0.6502838478886384, 0.6032895758893895, 0.6091357537490134, 0.5928531899754922, 0.6446540880503144, 0.6497394820748115, 0.5447822035872351, 0.6310010214504597, 0.5906833997967003]};{'parameter_settings': {'reg_alpha': 0, 'n_jobs': 1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 1, 'learning_rate': 0.05, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 4, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.5917031727067569, 0.5551839464882944, 0.5802543507362785, 0.5924474314612723, 0.5902609506057782, 0.5406762212893393, 0.5564978499761108, 0.5811212571671268, 0.5744511401948552, 0.5568063525957561]}
((13, 14),);{'parameter_settings': {'reg_alpha': 0, 'n_jobs': 1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 1, 'learning_rate': 0.2, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 8, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.7038810483870968, 0.6430602222796589, 0.7014925373134328, 0.5931858632087464, 0.6842904123450544, 0.5983772819472616, 0.6341215357233664, 0.631122448979592, 0.7092189500640206, 0.6873732251521298]};{'parameter_settings': {'reg_alpha': 0, 'n_jobs': 1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 1, 'learning_rate': 0.2, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 8, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.6319860085503303, 0.661542063368191, 0.6548720740337507, 0.6524639045825488, 0.6629916334349832, 0.6293820443062572, 0.6706654243341875, 0.6626358695652175, 0.690819099378882, 0.6411794393974687]};{'parameter_settings': {'reg_alpha': 0, 'n_jobs': 1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 1, 'learning_rate': 0.2, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 8, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.6976813712463461, 0.6655076310550764, 0.7014726191108513, 0.717732936581737, 0.6611243860347803, 0.6887534199272187, 0.6790340241427197, 0.6750298606502986, 0.7071853662424612, 0.6869471671049485]}
((6, 7),);{'parameter_settings': {'reg_alpha': 0, 'n_jobs': 1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 1, 'learning_rate': 0.2, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 6, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.5244118391095371, 0.5234848484848484, 0.4847414880201765, 0.5125858123569794, 0.5068158436213991, 0.49783163265306124, 0.530729833546735, 0.49017137096774194, 0.5082216038451809, 0.5088383838383839]};{'parameter_settings': {'reg_alpha': 0, 'n_jobs': 1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 1, 'learning_rate': 0.05, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 8, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.5061550447993767, 0.4887139003490955, 0.5150050469756968, 0.5087076438140268, 0.4991415639144685, 0.524303129124932, 0.5080054538371641, 0.5213220444306355, 0.5152597654733245, 0.49065622787001334]};{'parameter_settings': {'reg_alpha': 0, 'n_jobs': 1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 1, 'learning_rate': 0.1, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 4, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.5017319177173192, 0.5193737717108406, 0.515672935841003, 0.5126238478497622, 0.5088737745423628, 0.494141925176408, 0.5089081072437504, 0.5160433149524494, 0.5038590962504006, 0.5142838178680472]}
((9, 10, 12),);{'parameter_settings': {'reg_alpha': 0, 'n_jobs': 1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 1, 'learning_rate': 0.1, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 6, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.7033770161290324, 0.7273185483870968, 0.7003783102143758, 0.7053777208706786, 0.7434475806451613, 0.6928553267226035, 0.6810545360558283, 0.758890290037831, 0.7179357450037945, 0.6484879813905402]};{'parameter_settings': {'reg_alpha': 0, 'n_jobs': 1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 1, 'learning_rate': 0.2, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 8, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.7298562548562548, 0.7593514270160977, 0.7188109161793372, 0.7060619021696867, 0.7172984309460928, 0.7352506801399145, 0.7221398470422974, 0.7341658885776533, 0.7570458074534162, 0.7194250194250195]};{'parameter_settings': {'reg_alpha': 0, 'n_jobs': 1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 1, 'learning_rate': 0.2, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 8, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.7219922810753261, 0.7324789614802624, 0.7345133920259596, 0.7451227604512276, 0.73661366110064, 0.7359244701758113, 0.720679012345679, 0.7242665604672773, 0.7312337421033073, 0.7245198820623158]}
((4, 5, 8),);{'parameter_settings': {'reg_alpha': 0, 'n_jobs': 1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 1, 'learning_rate': 0.05, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 4, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.4908722109533469, 0.5373134328358209, 0.5098884381338743, 0.5703025680142385, 0.5093469910371319, 0.522135087275487, 0.5181818181818182, 0.49104665825977306, 0.5143939393939395, 0.5161290322580645]};{'parameter_settings': {'reg_alpha': 0, 'n_jobs': 1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 1, 'learning_rate': 0.1, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 4, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.5008966861598441, 0.5089285714285714, 0.5079867858530898, 0.4997088283251805, 0.526981351981352, 0.5408472600077731, 0.5508709576628652, 0.5116088819633813, 0.5013991449669646, 0.5308531359563692]};{'parameter_settings': {'reg_alpha': 0, 'n_jobs': 1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 1, 'learning_rate': 0.05, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 4, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.5328245898588103, 0.5123475650256383, 0.5126709146422408, 0.5193632928905917, 0.5261114797611148, 0.5178315174063248, 0.5103079782291252, 0.5131788501353719, 0.500643714164366, 0.5187222915394621]}
((3, 11), (13, 14));{'parameter_settings': {'reg_alpha': 0, 'n_jobs': 1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 1, 'learning_rate': 0.05, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 8, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.7379115226337449, 0.7202124968378446, 0.7602066532258065, 0.7055485498108449, 0.8044136191677176, 0.7281565656565656, 0.7524590163934426, 0.8182393119150012, 0.7481715006305172, 0.7281210592686003]};{'parameter_settings': {'reg_alpha': 0, 'n_jobs': 1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 1, 'learning_rate': 0.05, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 8, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.6974658869395711, 0.7108471154592747, 0.7393542074363992, 0.6974094273470978, 0.7043430713950946, 0.7315325462171818, 0.7451615420633682, 0.731174168297456, 0.72265807052975, 0.7006622516556291]};{'parameter_settings': {'reg_alpha': 0, 'n_jobs': 1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 1, 'learning_rate': 0.2, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 8, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.6796376117496807, 0.6997589173925785, 0.6820396751431235, 0.7282331705245276, 0.6657594264471589, 0.7065654815841372, 0.7060400902694809, 0.6457050329156933, 0.6782280128562701, 0.6586927670869277]}
((3, 11), (6, 7));{'parameter_settings': {'reg_alpha': 0, 'n_jobs': 1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 1, 'learning_rate': 0.05, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 4, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.5875756048387096, 0.6131552419354839, 0.6599042338709677, 0.6760204081632653, 0.604460685483871, 0.6760654885654885, 0.6908212560386474, 0.6463477366255144, 0.5613659274193549, 0.6326504481434059]};{'parameter_settings': {'reg_alpha': 0, 'n_jobs': 1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 1, 'learning_rate': 0.05, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 4, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.5801630434782609, 0.5835470085470085, 0.6341150889182263, 0.5254566653711621, 0.6004160510148533, 0.5416472416472417, 0.5448309366498251, 0.5830547998445395, 0.5480045034552372, 0.565243664717349]};{'parameter_settings': {'reg_alpha': 0, 'n_jobs': 1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 1, 'learning_rate': 0.05, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 4, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.5761977438619774, 0.563096789637471, 0.6185789375879371, 0.5520395960669678, 0.5994314407927946, 0.5886011880977117, 0.6129165007301208, 0.5897355916005204, 0.5920748705694943, 0.5368605484615997]}
((3, 11), (9, 10, 12));{'parameter_settings': {'reg_alpha': 0, 'n_jobs': 1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 1, 'learning_rate': 0.05, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 6, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.773266078184111, 0.7219002016129032, 0.7730730223123734, 0.6842853450504006, 0.7232300327538423, 0.6955357142857144, 0.7809560132214595, 0.7944958847736625, 0.6691326530612245, 0.6691326530612245]};{'parameter_settings': {'reg_alpha': 0, 'n_jobs': 1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 1, 'learning_rate': 0.1, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 6, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.7406371406371408, 0.7521070703917591, 0.7520191038285315, 0.7466224085720942, 0.7752848447011083, 0.7512855473315154, 0.7539448115040809, 0.7540580614952395, 0.7299261562378546, 0.7709287877611244]};{'parameter_settings': {'reg_alpha': 0, 'n_jobs': 1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 1, 'learning_rate': 0.2, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 6, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.7441797041294169, 0.770116010512623, 0.7680492469519483, 0.7511646586345381, 0.7701723540850849, 0.7556258136507346, 0.7375597450876262, 0.7453771354180503, 0.7486856080722252, 0.7714684014869888]}
((3, 11), (4, 5, 8));{'parameter_settings': {'reg_alpha': 0, 'n_jobs': 1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 1, 'learning_rate': 0.05, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 4, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.7272612748803226, 0.5974747474747474, 0.683732660781841, 0.637474279835391, 0.5258251448727639, 0.6480153649167734, 0.6656947261663286, 0.6133316468504932, 0.5970996216897856, 0.6344696969696969]};{'parameter_settings': {'reg_alpha': 0, 'n_jobs': 1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 1, 'learning_rate': 0.05, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 4, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.524224960254372, 0.5447697445057078, 0.6404769302470095, 0.6101364522417154, 0.6123035421064977, 0.573283245094986, 0.6221842473201802, 0.6082022734350669, 0.597457298136646, 0.6151522284996862]};{'parameter_settings': {'reg_alpha': 0, 'n_jobs': 1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 1, 'learning_rate': 0.05, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 4, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.5792568015925681, 0.5666130447499269, 0.604085835769333, 0.6190144396666135, 0.572335902205687, 0.5808892085564346, 0.5827161968466317, 0.6055757591845402, 0.5762586179252845, 0.5564992025518342]}
((13, 14), (6, 7));{'parameter_settings': {'reg_alpha': 0, 'n_jobs': 1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 1, 'learning_rate': 0.2, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 8, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.6954677975086139, 0.6060720584530108, 0.6353326612903226, 0.6709183673469388, 0.6282970550576183, 0.6080121703853953, 0.5429766734279918, 0.6192995716805241, 0.6708701134930644, 0.6085750315258511]};{'parameter_settings': {'reg_alpha': 0, 'n_jobs': 1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 1, 'learning_rate': 0.2, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 8, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.704059413640252, 0.6583800186741363, 0.6925573260785075, 0.7032305661256505, 0.6912176891933977, 0.6756851448146994, 0.706060606060606, 0.6849871685201027, 0.7275058275058275, 0.7259518259518258]};{'parameter_settings': {'reg_alpha': 0, 'n_jobs': 1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 1, 'learning_rate': 0.2, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 8, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.647827125753272, 0.6931305409566278, 0.6652097436170781, 0.7196694105151354, 0.6540666808239541, 0.6763304578633046, 0.6989037532515794, 0.672719785329047, 0.6797617782971265, 0.667007299270073]}
