,,Date & Time,ETD,Sentiment
0,8311,2005-08-13 11:00:00,3923.0,-0.14312499999999997
0,8312,2005-08-13 12:00:00,3923.0,0.0
0,8586,2005-08-24 22:00:00,3912.0,0.05833333333333335
0,8752,2005-08-31 20:00:00,3905.0,0.05
0,9269,2005-09-22 09:00:00,3883.0,0.35
0,9281,2005-09-22 21:00:00,3883.0,0.6
0,9426,2005-09-28 22:00:00,3877.0,-0.22499999999999995
0,9724,2005-10-11 08:00:00,3864.0,0.0
0,9977,2005-10-21 21:00:00,3854.0,-0.19749999999999995
0,10002,2005-10-22 22:00:00,3853.0,0.19666666666666666
0,10073,2005-10-25 21:00:00,3850.0,0.26666666666666666
0,10122,2005-10-27 22:00:00,3848.0,-0.18749999999999997
0,10134,2005-10-28 10:00:00,3847.0,-0.08447916666666665
0,10301,2005-11-04 09:00:00,3840.0,0.08
0,10326,2005-11-05 10:00:00,3839.0,0.20625
0,10589,2005-11-16 09:00:00,3828.0,0.046666666666666676
0,10614,2005-11-17 10:00:00,3827.0,-0.21666666666666665
0,10623,2005-11-17 19:00:00,3827.0,0.10486111111111113
0,10975,2005-12-02 11:00:00,3812.0,0.042857142857142864
0,11045,2005-12-05 09:00:00,3809.0,0.1
0,11411,2005-12-20 15:00:00,3794.0,0.0
0,11959,2006-01-12 11:00:00,3771.0,-0.1254722222222222
0,12152,2006-01-20 12:00:00,3763.0,0.09
0,12499,2006-02-03 23:00:00,3749.0,0.008888888888888877
0,12547,2006-02-05 23:00:00,3747.0,0.24055555555555552
0,13068,2006-02-27 16:00:00,3725.0,0.0
0,13112,2006-03-01 12:00:00,3723.0,-0.15199999999999997
0,13404,2006-03-13 16:00:00,3711.0,0.19924242424242425
0,13407,2006-03-13 19:00:00,3711.0,0.08472222222222221
0,14095,2006-04-11 11:00:00,3682.0,0.04880952380952381
0,14297,2006-04-19 21:00:00,3674.0,0.19999999999999998
0,14429,2006-04-25 09:00:00,3668.0,0.013888888888888886
0,14514,2006-04-28 22:00:00,3665.0,-0.019484126984126972
0,15163,2006-05-25 23:00:00,3638.0,-0.024999999999999998
0,15175,2006-05-26 11:00:00,3637.0,0.05277777777777779
0,15232,2006-05-28 20:00:00,3635.0,-0.04
0,15735,2006-06-18 19:00:00,3614.0,0.22
0,15775,2006-06-20 11:00:00,3612.0,0.03425925925925927
0,16468,2006-07-19 08:00:00,3583.0,0.0
0,16612,2006-07-25 08:00:00,3577.0,0.08499999999999999
0,17530,2006-09-01 14:00:00,3539.0,0.0
0,17537,2006-09-01 21:00:00,3539.0,0.05833333333333333
0,18136,2006-09-26 20:00:00,3514.0,0.016666666666666684
0,18230,2006-09-30 18:00:00,3510.0,0.09166666666666667
0,21034,2007-01-25 14:00:00,3393.0,-1.3877787807814458e-18
0,21053,2007-01-26 09:00:00,3392.0,0.008928571428571428
0,21203,2007-02-01 15:00:00,3386.0,0.0
0,22191,2007-03-14 19:00:00,3345.0,0.0
0,22352,2007-03-21 12:00:00,3338.0,0.0
0,24485,2007-06-18 09:00:00,3249.0,-0.04583333333333334
0,40276,2009-04-06 08:00:00,2591.0,0.0435
0,46832,2010-01-04 12:00:00,2318.0,0.0
0,80103,2013-10-21 19:00:00,932.0,0.275
0,80986,2013-11-27 14:00:00,895.0,0.005833333333333364
0,82095,2014-01-12 19:00:00,849.0,-0.003703703703703703
0,82498,2014-01-29 14:00:00,832.0,-0.008333333333333333
0,82575,2014-02-01 19:00:00,829.0,0.08
0,83490,2014-03-11 22:00:00,791.0,-0.08071428571428571
0,84546,2014-04-24 22:00:00,747.0,0.25
0,84733,2014-05-02 17:00:00,739.0,0.5
0,86010,2014-06-24 22:00:00,686.0,0.4649999999999999
0,86047,2014-06-26 11:00:00,684.0,0.19
0,86100,2014-06-28 16:00:00,682.0,0.025
