user,activity,active days
4024,1,232
4022,25,1921
4029,2,1828
5988,4,314
5986,3,364
5984,1,366
5985,9,315
3997,2,1921
3995,1,1939
3993,20,1940
4930,7,1366
4687,24,1570
4684,3,1288
6150,9,3057
6151,1,2920
6152,3,2572
4933,4,1383
4934,3,1382
4731,13,1516
4737,15,1522
2319,13,3288
2317,39,3244
2314,152,3297
4739,11,1526
2313,8,3288
2310,55,3282
5854,1,474
5852,1,524
5859,1,336
3772,17,2089
3771,1,2090
3776,1,2087
3775,16,2200
3774,19,2002
3779,61,2072
4834,4,1444
4655,3,1388
4656,1,1507
4652,1,1602
18184,6,44
2262,4,3360
2263,8,3360
5487,3,872
2267,10,3351
2264,4,3355
2440,52,3159
2441,1,3024
2448,112,3134
2449,1,2271
18180,2,46
6055,2,276
2102,2,3591
2044,4,3389
2045,297,3663
4817,9,1425
2040,1,3036
2041,156,3664
3155,25,2466
2838,1,1666
3159,13,2406
3519,270,2200
3517,1,2240
3515,12,2241
3514,2,2241
2689,1,2891
2830,6,2746
2683,13,2926
5407,77,952
5406,5,910
5118,3,1233
1433,452,4284
3207,7,2421
1622,1,4102
3205,9,2386
1992,14,3677
5186,2,1157
3202,11,2442
1625,5,4095
1624,1,4067
1998,78,3695
3209,4,2436
5058,4,1284
2861,3,2702
2869,6,2672
17826,37,92
17825,1,119
5408,2,919
3349,46,2337
1191,368,3929
1190,1,4475
1193,90,4471
1192,15,4472
3346,23,2339
1194,17,4468
1196,3,4451
1757,5,3782
1756,30,3986
1755,2,3986
1754,18,3977
1753,45,3975
1752,1,3980
1750,50,3932
4259,6,1735
4258,19,1733
1172,24,4390
1171,13,4499
1170,2,4488
4251,2,1828
4255,7,1825
4254,4,1500
1179,20,4196
4256,120,1824
18148,1,62
5530,2,815
5536,3,590
5534,1,813
5539,8,808
1285,1,4417
1287,7,4411
1286,1,4313
1281,5,4398
1282,77,4416
1288,1,4008
1572,55,4140
1571,1,4015
1570,60,4144
1577,2,4132
1576,1,4137
1575,3,4124
1574,126,4133
4260,1,1710
6016,1,300
3435,2,2291
4263,2,1819
4388,3,1745
5629,17,713
2036,1,3669
4383,14,1563
4380,1,1749
4387,240,1716
5622,3,683
4385,12,1743
5620,1,737
1370,3716,4349
1372,5,4343
1377,505,4289
4269,3,1813
1378,129,4335
3832,1,2049
3833,13,1945
2746,1,2846
3839,141,2007
4030,1,1923
4033,1,1891
4035,1,1919
5990,1,328
4037,1,1863
4845,1,1434
4039,2,1918
4038,4,1918
4186,2,1857
4738,9,1526
6142,42,4177
6141,148,4223
6140,9,4250
