,Date & Time,ETD,Sentiment
38418,2009-01-18 22:00:00,1935.0,0.0
38745,2009-02-01 13:00:00,1922.0,0.0
41275,2009-05-17 23:00:00,1816.0,0.1375
43065,2009-07-31 13:00:00,1742.0,0.0
43265,2009-08-08 21:00:00,1733.0,0.0
43266,2009-08-08 22:00:00,1733.0,0.0
43522,2009-08-19 14:00:00,1723.0,-0.004583333333333328
44244,2009-09-18 16:00:00,1693.0,-0.6499999999999999
45397,2009-11-05 17:00:00,1645.0,0.0
46337,2009-12-14 21:00:00,1605.0,0.0
47692,2010-02-09 08:00:00,1549.0,0.05
48977,2010-04-03 21:00:00,1495.0,0.0
51401,2010-07-13 21:00:00,1394.0,0.0
51947,2010-08-05 15:00:00,1372.0,0.0
53193,2010-09-26 13:00:00,1320.0,0.0
59772,2011-06-27 16:00:00,1046.0,0.15000000000000002
60711,2011-08-05 19:00:00,1007.0,0.2416666666666667
60780,2011-08-08 16:00:00,1004.0,0.0
61595,2011-09-11 15:00:00,970.0,0.0
64763,2012-01-21 15:00:00,838.0,0.0
67504,2012-05-14 20:00:00,723.0,0.0
71702,2012-11-05 18:00:00,549.0,0.0
72255,2012-11-28 19:00:00,526.0,0.0
72279,2012-11-29 19:00:00,525.0,-0.75
75563,2013-04-15 15:00:00,388.0,0.0
75711,2013-04-21 19:00:00,382.0,0.0
76710,2013-06-02 10:00:00,340.0,0.0
78898,2013-09-01 14:00:00,249.0,0.25
81437,2013-12-16 09:00:00,143.0,0.0
84879,2014-05-08 19:00:00,0.0,0.31666666666666665
