,,Date & Time,ETD,Sentiment
1147,7594,2005-07-14 14:00:00,654.0,-0.2
1147,7639,2005-07-16 11:00:00,652.0,0.0
1147,7665,2005-07-17 13:00:00,651.0,0.05
1147,7795,2005-07-22 23:00:00,646.0,0.10277777777777779
1147,7796,2005-07-23 00:00:00,646.0,0.0
1147,7806,2005-07-23 10:00:00,645.0,0.0071428571428571435
1147,7843,2005-07-24 23:00:00,644.0,-0.2125
1147,7866,2005-07-25 22:00:00,643.0,0.125
1147,7893,2005-07-27 01:00:00,641.0,0.15833333333333335
1147,8178,2005-08-07 22:00:00,630.0,0.0
1147,8276,2005-08-12 00:00:00,626.0,0.0
1147,8319,2005-08-13 19:00:00,624.0,0.0
1147,8660,2005-08-28 00:00:00,610.0,-0.06944444444444443
1147,8706,2005-08-29 22:00:00,608.0,0.06190476190476191
1147,8707,2005-08-29 23:00:00,608.0,0.0
1147,8948,2005-09-09 00:00:00,598.0,0.10069444444444446
1147,8958,2005-09-09 10:00:00,597.0,-0.08416666666666664
1147,9654,2005-10-08 10:00:00,568.0,-0.03796296296296296
1147,9994,2005-10-22 14:00:00,554.0,0.10674603174603174
1147,10013,2005-10-23 09:00:00,553.0,0.2125
1147,11240,2005-12-13 12:00:00,502.0,0.07250000000000001
1147,11287,2005-12-15 11:00:00,500.0,0.0
1147,11368,2005-12-18 20:00:00,497.0,0.049166666666666664
1147,13701,2006-03-26 01:00:00,399.0,0.008653846153846158
1147,13821,2006-03-31 01:00:00,394.0,0.10454545454545454
1147,16436,2006-07-18 00:00:00,286.0,0.0
1147,16534,2006-07-22 02:00:00,281.0,0.1
1147,16832,2006-08-03 12:00:00,269.0,-0.1
1147,17430,2006-08-28 10:00:00,244.0,0.030000000000000027
1147,18253,2006-10-01 17:00:00,210.0,0.18333333333333335
1147,19039,2006-11-03 11:00:00,177.0,-0.011363636363636355
1147,20313,2006-12-26 13:00:00,124.0,-0.014291187739463591
2317,38418,2009-01-18 22:00:00,1563.0,0.0
2317,38745,2009-02-01 13:00:00,1549.0,0.0
2317,41275,2009-05-17 23:00:00,1444.0,0.1375
2317,43065,2009-07-31 13:00:00,1369.0,0.0
2317,43265,2009-08-08 21:00:00,1361.0,0.0
2317,43266,2009-08-08 22:00:00,1361.0,0.0
2317,43522,2009-08-19 14:00:00,1350.0,-0.004583333333333328
2317,44244,2009-09-18 16:00:00,1320.0,-0.6499999999999999
2317,45397,2009-11-05 17:00:00,1272.0,0.0
2317,46337,2009-12-14 21:00:00,1233.0,0.0
2317,47692,2010-02-09 08:00:00,1177.0,0.05
2317,48977,2010-04-03 21:00:00,1123.0,0.0
2317,51401,2010-07-13 21:00:00,1022.0,0.0
2317,51947,2010-08-05 15:00:00,999.0,0.0
2317,53193,2010-09-26 13:00:00,947.0,0.0
2317,59772,2011-06-27 16:00:00,673.0,0.15000000000000002
2317,60711,2011-08-05 19:00:00,634.0,0.2416666666666667
2317,60780,2011-08-08 16:00:00,631.0,0.0
2317,61595,2011-09-11 15:00:00,597.0,0.0
2317,64763,2012-01-21 15:00:00,465.0,0.0
2317,67504,2012-05-14 20:00:00,351.0,0.0
2317,71702,2012-11-05 18:00:00,176.0,0.0
2317,72255,2012-11-28 19:00:00,153.0,0.0
2317,72279,2012-11-29 19:00:00,152.0,-0.75
2317,75563,2013-04-15 15:00:00,15.0,0.0
2317,75711,2013-04-21 19:00:00,9.0,0.0
2317,76710,2013-06-02 10:00:00,-32.0,0.0
2317,78898,2013-09-01 14:00:00,-124.0,0.25
2317,81437,2013-12-16 09:00:00,-229.0,0.0
2317,84879,2014-05-08 19:00:00,-373.0,0.31666666666666665
