B/U;dependent;independent;AUC;eta;depth;f1
B;0;((3, 11),);0.536310982401;0.2;8;0.507462686567
B;0;((3, 11),);0.54672423531;0.1;4;0.0116618075802
B;0;((13, 14),);0.578636667409;0.1;4;0.454545454545
B;0;((13, 14),);0.623273657608;0.05;6;0.0166827077318
B;0;((6, 7),);0.514145689463;0.05;4;0.0857142857143
B;0;((6, 7),);0.508490044972;0.05;4;0.0126849894292
B;0;((9, 10, 12),);0.601358877256;0.05;8;0.43137254902
B;0;((9, 10, 12),);0.604588576622;0.2;4;0.0166270783848
B;0;((4, 5, 8),);0.506794386278;0.05;4;0.0845070422535
B;0;((4, 5, 8),);0.504817612713;0.2;8;0.0106007067138
B;0;((3, 11), (13, 14));0.61004678102;0.2;4;0.582089552239
B;0;((3, 11), (13, 14));0.630483244956;0.1;4;0.0148593667079
B;0;((3, 11), (6, 7));0.544664736021;0.2;8;0.554744525547
B;0;((3, 11), (6, 7));0.56331096169;0.1;6;0.0124474348192
B;0;((3, 11), (9, 10, 12));0.600690576966;0.2;6;0.571428571429
B;0;((3, 11), (9, 10, 12));0.62752584916;0.05;6;0.0156817747179
B;0;((3, 11), (4, 5, 8));0.546892403653;0.2;8;0.540145985401
B;0;((3, 11), (4, 5, 8));0.552950725447;0.1;6;0.012351861125
B;0;((13, 14), (6, 7));0.602584094453;0.2;4;0.462962962963
B;0;((13, 14), (6, 7));0.623510548502;0.2;4;0.0164095831966
B;0;((13, 14), (9, 10, 12));0.663065270662;0.2;4;0.527272727273
B;0;((13, 14), (9, 10, 12));0.694928165953;0.2;4;0.02261208577
B;0;((13, 14), (4, 5, 8));0.581532635331;0.05;8;0.454545454545
B;0;((13, 14), (4, 5, 8));0.622137828109;0.1;4;0.0163826998689
B;0;((6, 7), (9, 10, 12));0.59890844286;0.2;4;0.452830188679
B;0;((6, 7), (9, 10, 12));0.633951202969;0.1;4;0.020253164557
B;0;((6, 7), (4, 5, 8));0.50768545333;0.05;4;0.109589041096
B;0;((6, 7), (4, 5, 8));0.524065621271;0.2;8;0.0160642570281
B;0;((9, 10, 12), (4, 5, 8));0.596458008465;0.1;6;0.457142857143
B;0;((9, 10, 12), (4, 5, 8));0.640511833947;0.1;4;0.0198101527033
B;0;((3, 11), (13, 14), (6, 7));0.603475161506;0.2;6;0.618705035971
B;0;((3, 11), (13, 14), (6, 7));0.630897180624;0.05;6;0.0150901729849
B;0;((3, 11), (13, 14), (9, 10, 12));0.64624638004;0.2;4;0.609929078014
B;0;((3, 11), (13, 14), (9, 10, 12));0.678338945985;0.05;8;0.0169785838318
B;0;((3, 11), (13, 14), (4, 5, 8));0.612497215415;0.2;4;0.619718309859
B;0;((3, 11), (13, 14), (4, 5, 8));0.634842660808;0.05;6;0.0154687794756
B;0;((3, 11), (6, 7), (9, 10, 12));0.619291601693;0.1;4;0.562962962963
B;0;((3, 11), (6, 7), (9, 10, 12));0.616151345852;0.1;4;0.0144817073171
B;0;((3, 11), (6, 7), (4, 5, 8));0.555357540655;0.2;8;0.550724637681
B;0;((3, 11), (6, 7), (4, 5, 8));0.557863717915;0.1;6;0.012599469496
B;0;((3, 11), (9, 10, 12), (4, 5, 8));0.61349966585;0.2;4;0.567164179104
B;0;((3, 11), (9, 10, 12), (4, 5, 8));0.614305467068;0.1;4;0.0145549542825
B;0;((13, 14), (6, 7), (9, 10, 12));0.646580530185;0.05;6;0.522522522523
B;0;((13, 14), (6, 7), (9, 10, 12));0.686087771817;0.05;6;0.0221458571974
B;0;((13, 14), (6, 7), (4, 5, 8));0.588995321898;0.2;8;0.477064220183
B;0;((13, 14), (6, 7), (4, 5, 8));0.620824953837;0.05;4;0.0169546788393
B;0;((13, 14), (9, 10, 12), (4, 5, 8));0.641234127868;0.1;4;0.517857142857
B;0;((13, 14), (9, 10, 12), (4, 5, 8));0.69658702561;0.1;4;0.0227272727273
B;0;((6, 7), (9, 10, 12), (4, 5, 8));0.616507017153;0.05;6;0.47619047619
B;0;((6, 7), (9, 10, 12), (4, 5, 8));0.644720387703;0.1;4;0.0201173512154
B;0;((3, 11), (13, 14), (6, 7), (9, 10, 12));0.636778792604;0.2;8;0.604316546763
B;0;((3, 11), (13, 14), (6, 7), (9, 10, 12));0.661996591265;0.1;4;0.0155296727676
B;0;((3, 11), (13, 14), (6, 7), (4, 5, 8));0.602027177545;0.2;8;0.595744680851
B;0;((3, 11), (13, 14), (6, 7), (4, 5, 8));0.640249383772;0.05;4;0.016369047619
B;0;((3, 11), (13, 14), (9, 10, 12), (4, 5, 8));0.633325907775;0.2;4;0.604316546763
B;0;((3, 11), (13, 14), (9, 10, 12), (4, 5, 8));0.664877932616;0.1;4;0.0157628072809
B;0;((3, 11), (6, 7), (9, 10, 12), (4, 5, 8));0.615281799955;0.2;4;0.564885496183
B;0;((3, 11), (6, 7), (9, 10, 12), (4, 5, 8));0.62072146992;0.1;4;0.0149840794156
B;0;((13, 14), (6, 7), (9, 10, 12), (4, 5, 8));0.639229226999;0.1;4;0.513274336283
B;0;((13, 14), (6, 7), (9, 10, 12), (4, 5, 8));0.681575623678;0.05;8;0.0219866509619
B;0;((3, 11), (13, 14), (6, 7), (9, 10, 12), (4, 5, 8));0.636667409223;0.2;8;0.6
B;0;((3, 11), (13, 14), (6, 7), (9, 10, 12), (4, 5, 8));0.659097794795;0.1;4;0.0157185628743
B;1;((3, 11),);0.51714880333;0.05;6;0.507936507937
B;1;((3, 11),);0.540798049803;0.05;6;0.0282137189208
B;1;((13, 14),);0.537315296566;0.1;4;0.37037037037
B;1;((13, 14),);0.581204920013;0.05;8;0.031866989955
B;1;((6, 7),);0.518917793965;0.2;4;0.104651162791
B;1;((6, 7),);0.507986198771;0.05;4;0.0233766233766
B;1;((9, 10, 12),);0.639958376691;0.1;6;0.4
