B/U;dependent;independent;AUC;eta;depth;f1;cm
B;0;((3, 11),);0.638483710368;0.05;8;0.579439252336;[62 45 45 62]
B;0;((3, 11),);0.631642813471;0.05;8;0.0115996258185;[13447 10521    45    62]
B;0;((13, 14),);0.587518560573;0.1;10;0.348387096774;[86 21 80 27]
B;0;((13, 14),);0.590083506981;0.1;10;0.0118239544559;[19535  4433    80    27]
B;0;((6, 7),);0.518429557167;0.1;10;0.0526315789474;[103   4 104   3]
B;0;((6, 7),);0.494729343174;0.05;8;0.00377714825307;[23018   950   105     2]
B;0;((9, 10, 12),);0.746702768801;0.05;10;0.467532467532;[96 11 71 36]
B;0;((9, 10, 12),);0.701719504511;0.2;12;0.0209597352454;[20487  3481    69    38]
B;0;((4, 5, 8),);0.514542754826;0.05;8;0.0521739130435;[102   5 104   3]
B;0;((4, 5, 8),);0.504520240383;0.05;8;0.00538116591928;[22963  1005   104     3]
B;0;((3, 11), (13, 14));0.651585291292;0.05;12;0.614678899083;[63 44 40 67]
B;0;((3, 11), (13, 14));0.68007089671;0.05;12;0.0139845543728;[14560  9408    40    67]
B;0;((3, 11), (6, 7));0.629050572102;0.1;10;0.590909090909;[59 48 42 65]
B;0;((3, 11), (6, 7));0.624733679173;0.05;8;0.0118376550169;[13494 10474    44    63]
B;0;((3, 11), (9, 10, 12));0.746921128483;0.05;12;0.704225352113;[76 31 32 75]
B;0;((3, 11), (9, 10, 12));0.736576338545;0.05;12;0.018018018018;[15825  8143    32    75]
B;0;((3, 11), (4, 5, 8));0.636038081929;0.1;12;0.629310344828;[55 52 34 73]
B;0;((3, 11), (4, 5, 8));0.643661954257;0.05;10;0.012535198474;[13135 10833    38    69]
B;0;((13, 14), (6, 7));0.56843392436;0.05;12;0.355828220859;[80 27 78 29]
B;0;((13, 14), (6, 7));0.600756616298;0.05;12;0.0122881355932;[19384  4584    78    29]
B;0;((13, 14), (9, 10, 12));0.690278626954;0.05;12;0.423076923077;[91 16 74 33]
B;0;((13, 14), (9, 10, 12));0.676633291429;0.05;12;0.0194289078599;[20711  3257    74    33]
B;0;((13, 14), (4, 5, 8));0.606384837104;0.05;8;0.369426751592;[86 21 78 29]
B;0;((13, 14), (4, 5, 8));0.60743744775;0.1;10;0.0129003558719;[19608  4360    78    29]
B;0;((6, 7), (9, 10, 12));0.750807930824;0.05;12;0.487179487179;[96 11 69 38]
B;0;((6, 7), (9, 10, 12));0.706301743446;0.05;12;0.0220226021443;[20662  3306    69    38]
B;0;((6, 7), (4, 5, 8));0.523451829854;0.1;10;0.0683760683761;[101   6 103   4]
B;0;((6, 7), (4, 5, 8));0.516339348103;0.2;8;0.00758293838863;[23024   944   103     4]
B;0;((9, 10, 12), (4, 5, 8));0.748886365621;0.1;12;0.487179487179;[96 11 69 38]
B;0;((9, 10, 12), (4, 5, 8));0.707451056237;0.1;12;0.0218265364733;[20631  3337    69    38]
B;0;((3, 11), (13, 14), (6, 7));0.654642326841;0.05;8;0.617511520737;[64 43 40 67]
B;0;((3, 11), (13, 14), (6, 7));0.682925559625;0.05;8;0.0144256647648;[14853  9115    40    67]
B;0;((3, 11), (13, 14), (9, 10, 12));0.751419337933;0.05;8;0.663507109005;[73 34 37 70]
B;0;((3, 11), (13, 14), (9, 10, 12));0.755953810688;0.05;8;0.0174042764794;[16101  7867    37    70]
B;0;((3, 11), (13, 14), (4, 5, 8));0.675211808892;0.05;8;0.641860465116;[68 39 38 69]
B;0;((3, 11), (13, 14), (4, 5, 8));0.691186964239;0.05;8;0.0149723337311;[14927  9041    38    69]
B;0;((3, 11), (6, 7), (9, 10, 12));0.753908638309;0.05;8;0.707547169811;[77 30 32 75]
B;0;((3, 11), (6, 7), (9, 10, 12));0.740203643799;0.05;8;0.018091906887;[15859  8109    32    75]
B;0;((3, 11), (6, 7), (4, 5, 8));0.646082627304;0.05;10;0.603603603604;[59 48 40 67]
B;0;((3, 11), (6, 7), (4, 5, 8));0.634954277042;0.05;10;0.0122374429224;[13192 10776    40    67]
B;0;((3, 11), (9, 10, 12), (4, 5, 8));0.756266922875;0.05;10;0.706976744186;[75 32 31 76]
B;0;((3, 11), (9, 10, 12), (4, 5, 8));0.742093819797;0.05;8;0.018359561278;[15764  8204    30    77]
B;0;((13, 14), (6, 7), (9, 10, 12));0.674906105337;0.2;10;0.425;[88 19 73 34]
B;0;((13, 14), (6, 7), (9, 10, 12));0.68008649383;0.2;10;0.0203653788559;[20770  3198    73    34]
B;0;((13, 14), (6, 7), (4, 5, 8));0.617695868635;0.2;12;0.382165605096;[87 20 77 30]
B;0;((13, 14), (6, 7), (4, 5, 8));0.609020945373;0.2;12;0.0129645635264;[19477  4491    77    30]
B;0;((13, 14), (9, 10, 12), (4, 5, 8));0.666259061927;0.2;8;0.4125;[87 20 74 33]
B;0;((13, 14), (9, 10, 12), (4, 5, 8));0.670010754214;0.05;8;0.0188957779746;[20720  3248    75    32]
B;0;((6, 7), (9, 10, 12), (4, 5, 8));0.752118088916;0.1;10;0.493670886076;[95 12 68 39]
B;0;((6, 7), (9, 10, 12), (4, 5, 8));0.713402917285;0.05;12;0.0230360307147;[20728  3240    68    39]
B;0;((3, 11), (13, 14), (6, 7), (9, 10, 12));0.7457419862;0.05;8;0.679069767442;[72 35 34 73]
B;0;((3, 11), (13, 14), (6, 7), (9, 10, 12));0.75383513688;0.05;8;0.0184459886292;[16233  7735    34    73]
B;0;((3, 11), (13, 14), (6, 7), (4, 5, 8));0.674163682418;0.05;8;0.633027522936;[65 42 38 69]
B;0;((3, 11), (13, 14), (6, 7), (4, 5, 8));0.689400314126;0.05;8;0.01454928835;[14659  9309    38    69]
B;0;((3, 11), (13, 14), (9, 10, 12), (4, 5, 8));0.74962878854;0.05;8;0.682464454976;[75 32 35 72]
B;0;((3, 11), (13, 14), (9, 10, 12), (4, 5, 8));0.753366833348;0.05;8;0.0181063749528;[16194  7774    35    72]
B;0;((3, 11), (6, 7), (9, 10, 12), (4, 5, 8));0.751419337933;0.05;8;0.700934579439;[75 32 32 75]
B;0;((3, 11), (6, 7), (9, 10, 12), (4, 5, 8));0.737166884506;0.05;10;0.01795117281;[15794  8174    32    75]
B;0;((13, 14), (6, 7), (9, 10, 12), (4, 5, 8));0.672722508516;0.05;10;0.407643312102;[89 18 75 32]
B;0;((13, 14), (6, 7), (9, 10, 12), (4, 5, 8));0.67086996057;0.05;10;0.0188846267335;[20718  3250    75    32]
B;0;((3, 11), (13, 14), (6, 7), (9, 10, 12), (4, 5, 8));0.751331994061;0.05;8;0.682692307692;[77 30 36 71]
B;0;((3, 11), (13, 14), (6, 7), (9, 10, 12), (4, 5, 8));0.749699950401;0.05;8;0.017908941859;[16217  7751    36    71]
B;1;((3, 11),);0.634546216997;0.05;12;0.602409638554;[150  99  99 150]
B;1;((3, 11),);0.615861414263;0.05;10;0.0283312008774;[13288 10538    94   155]
B;1;((13, 14),);0.635796196836;0.2;12;0.665594855305;[ 83 166  42 207]
B;1;((13, 14),);0.631886902938;0.1;8;0.024795377949;[ 7665 16161    43   206]
B;1;((6, 7),);0.507588587281;0.1;10;0.660167130919;[ 17 232  12 237]
B;1;((6, 7),);0.494644741983;0.05;12;0.0202848511006;[ 1140 22686    14   235]
B;1;((9, 10, 12),);0.690101772552;0.05;8;0.698412698413;[ 88 161  29 220]
B;1;((9, 10, 12),);0.698580690596;0.05;8;0.0278252071081;[ 8482 15344    29   220]
B;1;((4, 5, 8),);0.541555781358;0.1;10;0.677685950413;[ 18 231   3 246]
