B/U;dependent;independent;AUC;eta;depth;child
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.61937716263;0.05;8;1
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.63822163553;0.05;8;2
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.639444492969;0.05;8;4
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.603715131476;0.05;8;1
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.625412762759;0.05;8;8
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.644462694957;0.05;8;1
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.710329029571;0.05;8;1
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.633244589854;0.05;8;2
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.670776367188;0.05;8;9
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.687652839001;0.05;8;1
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.6625687833;0.05;8;2
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.648720367572;0.05;8;6
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.783908864365;0.05;8;8
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.787673270834;0.05;8;2
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.735810395465;0.05;8;2
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.715377434972;0.05;8;2
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.697090982551;0.05;8;1
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.701842050866;0.05;8;1
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.660318047337;0.05;8;1
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.663521704809;0.05;8;1
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.687337408949;0.05;8;2
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.665091082868;0.05;8;2
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.636709872906;0.05;8;1
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.65739669197;0.05;8;1
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.613410373555;0.05;8;2
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.630915538936;0.05;8;2
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.638468809074;0.05;8;9
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.667296005359;0.05;8;5
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.644467120181;0.05;8;9
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.652078401533;0.05;8;6
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.673877771769;0.05;8;1
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.673558750254;0.05;8;1
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.68378600823;0.05;8;1
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.707412697079;0.05;8;1
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.668374242092;0.05;8;4
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.672823496019;0.05;8;4
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.620659722222;0.05;8;9
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.658261224632;0.05;8;2
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.662941047556;0.05;8;2
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.672661259273;0.05;8;1
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.644337597845;0.05;8;2
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.667273242366;0.05;8;2
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.668367346939;0.05;8;3
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.718854697598;0.05;8;3
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.676179846939;0.05;8;1
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.674949015956;0.05;8;1
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.674824586697;0.05;8;6
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.683526321632;0.05;8;1
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.686899252403;0.05;8;8
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.66129044954;0.05;8;3
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.677148760331;0.05;8;2
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.655492424242;0.05;8;3
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.687000321774;0.05;8;8
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.671057149834;0.05;8;5
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.620192307692;0.05;8;4
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.594466781758;0.05;8;1
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.632782982247;0.05;8;2
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.638347276629;0.05;8;1
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.710871866676;0.05;8;1
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.684675993263;0.05;8;4
