B/U;dependent;independent;AUC;eta;depth;child
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.600936524454;0.05;8;10
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.60598616588;0.05;8;10
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.627977777778;0.05;8;10
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.598716913414;0.05;8;10
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.633090104601;0.05;8;10
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.644162258956;0.05;8;10
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.5286;0.05;8;10
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.635348682015;0.05;8;10
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.676378772112;0.05;8;10
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.657656755132;0.05;8;10
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.662660469687;0.05;8;10
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.656913672572;0.05;8;10
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.7032;0.05;8;10
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.679777277277;0.05;8;10
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.699357520786;0.05;8;10
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.665492047502;0.05;8;10
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.653450595925;0.05;8;10
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.658741678182;0.05;8;10
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.586238116795;0.05;8;10
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.618344077207;0.05;8;10
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.6777085257;0.05;8;10
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.68520660087;0.05;8;10
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.659970303083;0.05;8;10
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.658103903987;0.05;8;10
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.64343100189;0.05;8;10
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.63771862401;0.05;8;10
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.602958579882;0.05;8;10
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.619639996383;0.05;8;10
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.626218035507;0.05;8;10
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.636324119602;0.05;8;10
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.669135802469;0.05;8;10
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.666997415159;0.05;8;10
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.629552549428;0.05;8;10
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.617472599327;0.05;8;10
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.684585048011;0.05;8;10
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.65567863901;0.05;8;10
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.692776456599;0.05;8;10
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.700232427609;0.05;8;10
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.665819636678;0.05;8;10
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.68146079008;0.05;8;10
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.692774839631;0.05;8;10
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.688642164612;0.05;8;10
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.683367768595;0.05;8;10
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.718834796186;0.05;8;10
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.652551055256;0.05;8;10
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.665189045166;0.05;8;10
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.66709322086;0.05;8;10
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.661147353858;0.05;8;10
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.606481481481;0.05;8;10
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.567756792393;0.05;8;10
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.660135336109;0.05;8;10
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.644288658968;0.05;8;10
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.645652271135;0.05;8;10
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.646982015307;0.05;8;10
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.527366863905;0.05;8;10
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.601811087294;0.05;8;10
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.659615384615;0.05;8;10
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.666779605178;0.05;8;10
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.674958337418;0.05;8;10
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.666087310404;0.05;8;10
