B/U;dependent;independent;AUC;eta;depth;gamma
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.709910741767;d;e;f
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.667337319176;d;e;f
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.680011894464;d;e;f
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.667016541955;d;e;f
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.640697148031;d;e;f
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.646410847585;d;e;f
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.715020576132;d;e;f
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.682480189636;d;e;f
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.616222993827;d;e;f
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.635503078116;d;e;f
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.668646446356;d;e;f
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.642633949897;d;e;f
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.67609739369;d;e;f
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.671428416902;d;e;f
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.681471374471;d;e;f
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.645111764765;d;e;f
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.706951530612;d;e;f
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.702105855039;d;e;f
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.68405663281;d;e;f
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.667468374634;d;e;f
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.697100102695;d;e;f
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.648859043437;d;e;f
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.691164165287;d;e;f
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.651846174804;d;e;f
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.69944598338;d;e;f
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.673090580554;d;e;f
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.710617283951;d;e;f
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.716406694858;d;e;f
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.657435207869;d;e;f
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.676385760744;d;e;f
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.767589388697;d;e;f
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.709061450558;d;e;f
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.589236111111;d;e;f
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.589774221066;d;e;f
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.599868725525;d;e;f
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.595909357061;d;e;f
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.585613905325;d;e;f
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.57607352809;d;e;f
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.643076770482;d;e;f
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.642036144236;d;e;f
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.64440266243;d;e;f
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.649678811422;d;e;f
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.637586805556;d;e;f
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.632200444815;d;e;f
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.66843100189;d;e;f
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.645707419711;d;e;f
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.670398572278;d;e;f
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.652109334581;d;e;f
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.661008230453;d;e;f
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.632286721802;d;e;f
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.659890260631;d;e;f
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.680208226373;d;e;f
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.66852131071;d;e;f
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.657245151077;d;e;f
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.688965782391;d;e;f
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.667375768193;d;e;f
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.659584;d;e;f
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.682149584488;d;e;f
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.655360114645;d;e;f
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.663197379544;d;e;f
