B/U;dependent;independent;AUC;eta;depth;gamma
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.608888888889;0.05;8;10
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.637973076887;0.05;8;10
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.568444708837;0.05;8;10
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.598656131337;0.05;8;10
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.59557598702;0.05;8;10
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.608135699238;0.05;8;10
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.678533285867;0.05;8;10
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.680100125156;0.05;8;10
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.676050275482;0.05;8;10
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.678607742977;0.05;8;10
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.679562561248;0.05;8;10
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.69582102342;0.05;8;10
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.693525519849;0.05;8;10
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.65727604635;0.05;8;10
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.582466181061;0.05;8;10
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.628212200881;0.05;8;10
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.649173553719;0.05;8;10
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.64204987769;0.05;8;10
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.67441547971;0.05;8;10
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.674943231357;0.05;8;10
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.715543016975;0.05;8;10
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.696586922912;0.05;8;10
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.694702783559;0.05;8;10
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.678300876905;0.05;8;10
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.637859225323;0.05;8;10
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.667217057813;0.05;8;10
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.609283447266;0.05;8;10
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.618793293451;0.05;8;10
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.634887571436;0.05;8;10
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.639523683361;0.05;8;10
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.795847750865;0.05;8;10
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.731385471516;0.05;8;10
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.661587465565;0.05;8;10
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.681996345107;0.05;8;10
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.677862401128;0.05;8;10
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.675113466431;0.05;8;10
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.745984533016;0.05;8;10
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.718508895517;0.05;8;10
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.660239183015;0.05;8;10
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.66674989957;0.05;8;10
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.693020077293;0.05;8;10
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.660614706211;0.05;8;10
