B/U;dependent;independent;AUC;eta;depth;child
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.698518518519;0.05;8;1
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.662348406941;0.05;8;1
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.671822382332;0.05;8;1
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.678426745329;0.05;8;1
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.645575279421;0.05;8;1
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.658620585134;0.05;8;1
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.667060491493;0.05;8;1
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.639908489718;0.05;8;1
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.643096923828;0.05;8;1
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.681053211587;0.05;8;1
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.663878941392;0.05;8;1
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.647210489042;0.05;8;1
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.725256895619;0.05;8;1
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.738061401553;0.05;8;1
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.665661157025;0.05;8;1
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.682497256265;0.05;8;1
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.697978779989;0.05;8;1
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.698582828636;0.05;8;1
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.717270710059;0.05;8;1
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.709375681885;0.05;8;1
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.685306122449;0.05;8;1
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.659157301347;0.05;8;1
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.657900173895;0.05;8;1
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.657237211655;0.05;8;1
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.65572657311;0.05;8;1
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.687827927683;0.05;8;1
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.589827483641;0.05;8;1
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.62390407664;0.05;8;1
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.631846194795;0.05;8;1
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.646945098269;0.05;8;1
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.6496;0.05;8;1
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.69789706373;0.05;8;1
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.621425040604;0.05;8;1
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.633625713059;0.05;8;1
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.638617281326;0.05;8;1
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.649513477614;0.05;8;1
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.701460248783;0.05;8;1
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.668326919162;0.05;8;1
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.599166890621;0.05;8;1
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.61461274;0.05;8;1
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.661371096709;0.05;8;1
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.636827449976;0.05;8;1
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.633464825773;0.05;8;1
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.655049245557;0.05;8;1
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.63671779888;0.05;8;1
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.667608960516;0.05;8;1
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.684613409881;0.05;8;1
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.681975461991;0.05;8;1
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.60211058264;0.05;8;1
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.592938662138;0.05;8;1
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.68954248366;0.05;8;1
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.678702214303;0.05;8;1
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.690902831721;0.05;8;1
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.695816657171;0.05;8;1
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.66620498615;0.05;8;1
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.725778535312;0.05;8;1
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.752960205078;0.05;8;1
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.748037691541;0.05;8;1
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.760547520661;0.05;8;1
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.727000800012;0.05;8;1
