Included features;Churn in 1 months;Churn in 2 months;Churn in 3 months
((3, 11),);{'parameter_settings': {'reg_alpha': 0, 'n_jobs': -1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 126.30337078651685, 'learning_rate': 0.1, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 4, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.6164772727272727, 0.34569902727446117, 0.5396193005754758, 0.6157123834886818, 0.6517976031957391]};{'parameter_settings': {'reg_alpha': 0, 'n_jobs': -1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 48.34848484848485, 'learning_rate': 0.1, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 8, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.5553400364183358, 0.6296644295302013, 0.5881165386746894, 0.4951646878590579, 0.686831550802139]};{'parameter_settings': {'reg_alpha': 0, 'n_jobs': -1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 27.919395465994963, 'learning_rate': 0.05, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 4, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.5595674486803519, 0.4841870271611063, 0.5629276637341154, 0.50827834799609, 0.5375005848500445]}
((13, 14),);{'parameter_settings': {'reg_alpha': 0, 'n_jobs': -1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 117.63874345549738, 'learning_rate': 0.05, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 4, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.28580901856763924, 0.4083665338645418, 0.48229305002213363, 0.7612732095490716, 0.5385126162018592]};{'parameter_settings': {'reg_alpha': 0, 'n_jobs': -1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 50.3490990990991, 'learning_rate': 0.05, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 4, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.7006588799041629, 0.4443432824004434, 0.513747296879827, 0.5103609625668449, 0.6626689189189189]};{'parameter_settings': {'reg_alpha': 0, 'n_jobs': -1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 27.348148148148148, 'learning_rate': 0.05, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 8, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.5548539066806997, 0.5850536193029491, 0.5761469221835076, 0.5791529515031819, 0.5643835616438356]}
((6, 7),);{'parameter_settings': {'reg_alpha': 0, 'n_jobs': -1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 123.50549450549451, 'learning_rate': 0.1, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 8, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.539544235924933, 0.5438829787234042, 0.47606332252527184, 0.5439414114513982, 0.5472703062583223]};{'parameter_settings': {'reg_alpha': 0, 'n_jobs': -1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 50.3490990990991, 'learning_rate': 0.2, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 6, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.49860419953877894, 0.5290878378378377, 0.5425675675675676, 0.5076399334969519, 0.47106374214807956]};{'parameter_settings': {'reg_alpha': 0, 'n_jobs': -1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 26.665060240963854, 'learning_rate': 0.2, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 6, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.468384995507637, 0.5070666065253345, 0.5005512955445297, 0.48234359726295206, 0.48985826001955035]}
((9, 10, 12),);{'parameter_settings': {'reg_alpha': 0, 'n_jobs': -1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 123.50549450549451, 'learning_rate': 0.2, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 6, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.9147853032315183, 0.6482712765957447, 0.48677777777777775, 0.5500520600922207, 0.5754512032085561]};{'parameter_settings': {'reg_alpha': 0, 'n_jobs': -1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 48.455531453362255, 'learning_rate': 0.1, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 8, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.72576871657754, 0.6520704595496839, 0.5350440444274224, 0.5619594594594595, 0.5694632386107351]};{'parameter_settings': {'reg_alpha': 0, 'n_jobs': -1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 27.174233128834356, 'learning_rate': 0.05, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 6, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.6709016188041899, 0.6534355735979551, 0.5511182769027244, 0.5751415337107566, 0.5866847826086956]}
((4, 5, 8),);{'parameter_settings': {'reg_alpha': 0, 'n_jobs': -1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 123.50549450549451, 'learning_rate': 0.2, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 8, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.48054548922372686, 0.4852183864199885, 0.4099752050352852, 0.5447263017356475, 0.5061662198391421]};{'parameter_settings': {'reg_alpha': 0, 'n_jobs': -1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 46.30082987551867, 'learning_rate': 0.2, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 8, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.5567423230974633, 0.5377984084880637, 0.4987745098039215, 0.48177083333333337, 0.4645225464190982]};{'parameter_settings': {'reg_alpha': 0, 'n_jobs': -1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 27.3831891223733, 'learning_rate': 0.05, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 4, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.467489604989605, 0.4492082210242588, 0.4911018392370572, 0.518468400741743, 0.5043821571788829]}
((3, 11), (13, 14));{'parameter_settings': {'reg_alpha': 0, 'n_jobs': -1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 122.15217391304348, 'learning_rate': 0.1, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 8, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.7685752330226365, 0.5802949061662198, 0.32049579459938027, 0.5279627163781624, 0.4291111111111111]};{'parameter_settings': {'reg_alpha': 0, 'n_jobs': -1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 51.65357967667436, 'learning_rate': 0.2, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 6, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.6962142197599261, 0.598669623059867, 0.6446812892596024, 0.5377702702702702, 0.7331841750124298]};{'parameter_settings': {'reg_alpha': 0, 'n_jobs': -1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 27.3831891223733, 'learning_rate': 0.05, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 4, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.5873064146352875, 0.5595369012707722, 0.5819354564032697, 0.5315766550522648, 0.5647773279352227]}
((3, 11), (6, 7));{'parameter_settings': {'reg_alpha': 0, 'n_jobs': -1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 134.688622754491, 'learning_rate': 0.1, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 8, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.311318242343542, 0.5757978723404256, 0.4343541944074567, 0.442024128686327, 0.5089760638297872]};{'parameter_settings': {'reg_alpha': 0, 'n_jobs': -1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 49.440265486725664, 'learning_rate': 0.05, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 4, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.4535478372043469, 0.5319640456989247, 0.4676159274193548, 0.4195867026055705, 0.42641488413547246]};{'parameter_settings': {'reg_alpha': 0, 'n_jobs': -1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 27.810539523212046, 'learning_rate': 0.05, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 4, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.5359845637247531, 0.49314914645103325, 0.4776518218623482, 0.5225512969415409, 0.39232839838492595]}
((3, 11), (9, 10, 12));{'parameter_settings': {'reg_alpha': 0, 'n_jobs': -1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 127.0225988700565, 'learning_rate': 0.1, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 8, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.39729969012837535, 0.5538813656303643, 0.7562222222222222, 0.7028743315508021, 0.6440577123308048]};{'parameter_settings': {'reg_alpha': 0, 'n_jobs': -1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 49.21806167400881, 'learning_rate': 0.2, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 8, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.6175794714668709, 0.6187644131569365, 0.5442953020134228, 0.6573006432819517, 0.7100554435483871]};{'parameter_settings': {'reg_alpha': 0, 'n_jobs': -1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 28.43846153846154, 'learning_rate': 0.2, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 8, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.5717558651026393, 0.5078413014219673, 0.5974883855981417, 0.5903623515260863, 0.6530525870278278]}
((3, 11), (4, 5, 8));{'parameter_settings': {'reg_alpha': 0, 'n_jobs': -1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 117.02083333333333, 'learning_rate': 0.2, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 4, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.5310837765957447, 0.8275785745905267, 0.5970086898395722, 0.6170439414114514, 0.7017310252996005]};{'parameter_settings': {'reg_alpha': 0, 'n_jobs': -1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 48.88840262582057, 'learning_rate': 0.05, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 4, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.5328859060402684, 0.5375663051223181, 0.664926486256126, 0.6552935111798439, 0.540051247771836]};{'parameter_settings': {'reg_alpha': 0, 'n_jobs': -1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 26.934306569343065, 'learning_rate': 0.05, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 4, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.4835120643431635, 0.500776825540019, 0.49158004158004154, 0.5791737374919539, 0.49194147355912066]}
((13, 14), (6, 7));{'parameter_settings': {'reg_alpha': 0, 'n_jobs': -1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 120.82795698924731, 'learning_rate': 0.05, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 4, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.651930758988016, 0.23002098035475874, 0.7496688741721854, 0.6894907495708563, 0.574396782841823]};{'parameter_settings': {'reg_alpha': 0, 'n_jobs': -1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 50.581447963800905, 'learning_rate': 0.1, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 6, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.6367270999920829, 0.6591554054054054, 0.5662724809066272, 0.6120877824317148, 0.49770676135523007]};{'parameter_settings': {'reg_alpha': 0, 'n_jobs': -1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 27.488833746898262, 'learning_rate': 0.2, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 8, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.5845915602013163, 0.5341672152732061, 0.519148697214735, 0.5221883468834688, 0.5157118614313301]}
