Included features;Churn in 1 months;Churn in 2 months;Churn in 3 months
((3, 11),);{'parameter_settings': {'reg_alpha': 0, 'n_jobs': -1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 1.0, 'learning_rate': 0.05, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 4, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.5918152287795859, 0.6819153393530523, 0.6559223390306181, 0.6981469709767587, 0.682888437810774, 0.7061345494697614, 0.6170581790316123, 0.6530071990776033, 0.6427104226109791, 0.7071908774814586]};{'parameter_settings': {'reg_alpha': 0, 'n_jobs': -1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 1.0, 'learning_rate': 0.05, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 4, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.6077871518232382, 0.5914569744200691, 0.5646979839267026, 0.6379449964669173, 0.6130058449296281, 0.5777601694793004, 0.6131674890247312, 0.5843537584966013, 0.647190504951729, 0.5702390843742057]};{'parameter_settings': {'reg_alpha': 0, 'n_jobs': -1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 1.0, 'learning_rate': 0.05, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 4, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.5377577028916858, 0.5634416125063154, 0.5539866355124392, 0.5723449212026258, 0.5654474102912088, 0.5884054814037099, 0.5795444957047045, 0.54451573105698, 0.5813130541983351, 0.5531276425440721]}
((13, 14),);{'parameter_settings': {'reg_alpha': 0, 'n_jobs': -1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 1.0, 'learning_rate': 0.1, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 8, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.7446316884793447, 0.7493707524632003, 0.7257996203718526, 0.709230801638878, 0.6926475055178503, 0.6497957113836731, 0.7264224086647393, 0.696363060298826, 0.7378148650824687, 0.7444049930472743]};{'parameter_settings': {'reg_alpha': 0, 'n_jobs': -1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 1.0, 'learning_rate': 0.2, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 8, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.7105907820345152, 0.7334279084060362, 0.7409318800851525, 0.7268463569239763, 0.7549268848940165, 0.7396448604368343, 0.7318148222804542, 0.7236924309069503, 0.7291393095564627, 0.7340082984592367]};{'parameter_settings': {'reg_alpha': 0, 'n_jobs': -1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 1.0, 'learning_rate': 0.2, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 8, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.7221301367601656, 0.7449004428697537, 0.7345871871197269, 0.740987017574609, 0.72178251736601, 0.6950379937052108, 0.7470477945728073, 0.7161825718500077, 0.7375357573020175, 0.7037527016266636]}
((6, 7),);{'parameter_settings': {'reg_alpha': 0, 'n_jobs': -1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 1.0, 'learning_rate': 0.05, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 4, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.4905202061000577, 0.5174826727894887, 0.5174366950083096, 0.5095624850831099, 0.5069517609440777, 0.5143903126789304, 0.49491593957739793, 0.5400549328543754, 0.5150384368326215, 0.5297257122703684]};{'parameter_settings': {'reg_alpha': 0, 'n_jobs': -1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 1.0, 'learning_rate': 0.2, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 6, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.5066035646125291, 0.5024769370665938, 0.5072253148142913, 0.513831980027139, 0.50245111218301, 0.5102946722417884, 0.4888166894664842, 0.48158394154812073, 0.5001871764073724, 0.5063067082825229]};{'parameter_settings': {'reg_alpha': 0, 'n_jobs': -1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 1.0, 'learning_rate': 0.05, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 4, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.5237567049420973, 0.509031993426695, 0.5184525355072159, 0.5030865287637796, 0.5106800012949855, 0.5158296228666062, 0.5190314935394532, 0.5133484493595297, 0.5097993006113605, 0.514479718266159]}
((9, 10, 12),);{'parameter_settings': {'reg_alpha': 0, 'n_jobs': -1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 1.0, 'learning_rate': 0.1, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 8, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.7525785437689563, 0.7900864944445722, 0.7520425047342825, 0.7634294542795674, 0.7420404485382459, 0.7951290540156836, 0.8225618098397582, 0.7699546824319661, 0.731392064832795, 0.7476375363229404]};{'parameter_settings': {'reg_alpha': 0, 'n_jobs': -1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 1.0, 'learning_rate': 0.2, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 8, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.7989685517694672, 0.7899482569586469, 0.7393272003921434, 0.7717060128707568, 0.764352581842614, 0.7535787530584094, 0.7522735455962872, 0.77207782229234, 0.7687490790857874, 0.7754111548501668]};{'parameter_settings': {'reg_alpha': 0, 'n_jobs': -1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 1.0, 'learning_rate': 0.2, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 8, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.7911020687394776, 0.7795641620924207, 0.7823891758882866, 0.7890003060270339, 0.7925606906132636, 0.7980364156090389, 0.7856412739606242, 0.7949215153195752, 0.7737589896343764, 0.775201279262193]}
((4, 5, 8),);{'parameter_settings': {'reg_alpha': 0, 'n_jobs': -1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 1.0, 'learning_rate': 0.05, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 4, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.5430854134557839, 0.5428824462596069, 0.5270753089138291, 0.5543168075081548, 0.5242794077207276, 0.5264311930978597, 0.5115905800790417, 0.5072355075905121, 0.4915918337648478, 0.5467113714608705]};{'parameter_settings': {'reg_alpha': 0, 'n_jobs': -1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 1.0, 'learning_rate': 0.05, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 6, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.5071853170338528, 0.511127127840495, 0.5385868349219134, 0.5193548108131906, 0.5085868710314795, 0.527675405247737, 0.5107006377776757, 0.5076650411247422, 0.5193211500090694, 0.5190451902669417]};{'parameter_settings': {'reg_alpha': 0, 'n_jobs': -1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 1.0, 'learning_rate': 0.05, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 4, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.5182759821105357, 0.5061278169070019, 0.5185899312272328, 0.5031706391894688, 0.4994646893653091, 0.5145274281008352, 0.5135261199649985, 0.5146640512918768, 0.4919490016364685, 0.5152292635952767]}
((3, 11), (13, 14));{'parameter_settings': {'reg_alpha': 0, 'n_jobs': -1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 1.0, 'learning_rate': 0.05, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 8, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.7727675393349615, 0.8326426360131226, 0.8129419023479189, 0.8421698097048799, 0.8066749396210657, 0.785364200179015, 0.8082799010402002, 0.8513510183335986, 0.7624222105703586, 0.8399645813256736]};{'parameter_settings': {'reg_alpha': 0, 'n_jobs': -1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 1.0, 'learning_rate': 0.1, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 8, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.7836322443381915, 0.7959043534442451, 0.7974326662777512, 0.7882634084497582, 0.7426536857680925, 0.7800198914189211, 0.7557430813752922, 0.7571023544737792, 0.7627244173905753, 0.7845226718989696]};{'parameter_settings': {'reg_alpha': 0, 'n_jobs': -1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 1.0, 'learning_rate': 0.2, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 8, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.7687956170034542, 0.7519759841921265, 0.7493795494574522, 0.7602277731050072, 0.7329358246255754, 0.773080677271585, 0.7557283971026081, 0.7566074472471278, 0.746442384256626, 0.7673480054148176]}
((3, 11), (6, 7));{'parameter_settings': {'reg_alpha': 0, 'n_jobs': -1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 1.0, 'learning_rate': 0.05, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 4, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.6752904573901705, 0.717221286038441, 0.6251544432737233, 0.6843161952179568, 0.6976983632020521, 0.6930685854588748, 0.6035818078567611, 0.6607934024982172, 0.6073352096622269, 0.6654126979111443]};{'parameter_settings': {'reg_alpha': 0, 'n_jobs': -1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 1.0, 'learning_rate': 0.05, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 4, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.5866041846231704, 0.5954302953888235, 0.583775114454845, 0.5493027531163125, 0.6271673352426571, 0.6003469406665445, 0.6197161558971347, 0.5742115260904127, 0.5795633326768757, 0.603569212197465]};{'parameter_settings': {'reg_alpha': 0, 'n_jobs': -1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 1.0, 'learning_rate': 0.05, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 4, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.5490250044266666, 0.5743357733496001, 0.5678504701738866, 0.5521512346714192, 0.5931125431991848, 0.6114554669769539, 0.5926190293389606, 0.5993369795730933, 0.571027079545573, 0.5943178647960599]}
((3, 11), (9, 10, 12));{'parameter_settings': {'reg_alpha': 0, 'n_jobs': -1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 1.0, 'learning_rate': 0.05, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 8, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.8557492914589269, 0.8587192132011383, 0.8736479322008193, 0.8636512357770478, 0.8297834688189374, 0.8527053817373308, 0.8301654085560302, 0.8003386868766199, 0.8185538532768286, 0.8189283409009971]};{'parameter_settings': {'reg_alpha': 0, 'n_jobs': -1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 1.0, 'learning_rate': 0.1, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 8, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.8122314062078368, 0.7822320519181044, 0.8174038528770908, 0.7849433996893046, 0.8149737436564783, 0.7997672347866478, 0.8039794641073851, 0.8022633103866725, 0.8212102602570628, 0.8212734249059646]};{'parameter_settings': {'reg_alpha': 0, 'n_jobs': -1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 1.0, 'learning_rate': 0.1, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 8, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.8027607955424858, 0.8062535068042329, 0.7952702411647784, 0.807520199473698, 0.7921478839545496, 0.7937745821349453, 0.787109355690233, 0.8237140040781508, 0.8064013483501932, 0.7955128012960038]}
((3, 11), (4, 5, 8));{'parameter_settings': {'reg_alpha': 0, 'n_jobs': -1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 1.0, 'learning_rate': 0.05, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 4, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.67921329136601, 0.7095420964272331, 0.6385930915576107, 0.6698245638505289, 0.6481071695443273, 0.6909580420953428, 0.6715325554581492, 0.653390976395045, 0.6213002880415085, 0.6774969955935373]};{'parameter_settings': {'reg_alpha': 0, 'n_jobs': -1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 1.0, 'learning_rate': 0.05, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 4, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.6287185792087291, 0.6424246239088863, 0.6358789765178318, 0.6059115530756314, 0.6212691504347403, 0.5774690114002219, 0.592443091352048, 0.5671221385391916, 0.6110209833538608, 0.5825925086159985]};{'parameter_settings': {'reg_alpha': 0, 'n_jobs': -1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 1.0, 'learning_rate': 0.05, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 4, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.5966749475272203, 0.5942028985507246, 0.601990673844473, 0.5706486462719149, 0.6004726834306116, 0.6013240704944558, 0.598662043547143, 0.55743511397546, 0.5820449970930556, 0.6225879900099595]}
((13, 14), (6, 7));{'parameter_settings': {'reg_alpha': 0, 'n_jobs': -1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 1.0, 'learning_rate': 0.1, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 8, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.7360836493749046, 0.7469587351508276, 0.7089896806912257, 0.7157412524775117, 0.6674076374497188, 0.7161764705882353, 0.7095367826912062, 0.7302702043730789, 0.6519260067622019, 0.6500206644481086]};{'parameter_settings': {'reg_alpha': 0, 'n_jobs': -1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 1.0, 'learning_rate': 0.2, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 8, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.6952134652477234, 0.7302698693371645, 0.7199015793972044, 0.7418115946574687, 0.7137731001542387, 0.6858649369477331, 0.7156631829278473, 0.7391174022794578, 0.7159898691604965, 0.6977169194970241]};{'parameter_settings': {'reg_alpha': 0, 'n_jobs': -1, 'colsample_bytree': 1, 'silent': True, 'colsample_bylevel': 1, 'scale_pos_weight': 1.0, 'learning_rate': 0.2, 'missing': None, 'max_delta_step': 0, 'nthread': None, 'base_score': 0.5, 'n_estimators': 800, 'subsample': 1, 'reg_lambda': 1, 'random_state': 0, 'min_child_weight': 1, 'objective': 'binary:logistic', 'seed': None, 'max_depth': 8, 'gamma': 0, 'booster': 'gbtree'}, 'AUC_scores': [0.7299031061980438, 0.7251144749290446, 0.7153834174104503, 0.7434946527605437, 0.7287461442917859, 0.7118020002703067, 0.6994027013929491, 0.7154182477439528, 0.7405900607102353, 0.7239865874176454]}
